Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Corona3|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Work-Life-Balance|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Overall|4.6|Top Arbeitgeber
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Arbeitsatmosphäre|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Gleichberechtigung|4|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|||
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Corona1|NA|Schnelle und gute Reaktion auf aktuelle Situation
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Corona2|NA|N/A
