Sr. No,Unternehmen,Index,URL Pattern,Industry Type,Kununu Webpage,Verified,,,,,,,,,,,,,,,,,,,
70,ProSiebenSat.1 Media SE,Mdax,prosiebensat1-media,Medien,,Yes,,,,,,,,,,,,,,,,,,,
71,PUMA SE,Mdax,pumagroup,Textil,,Yes,,,,,,,,,,,,,,,,,,,
72,QIAGEN N.V.,Mdax,qiagen,Industrie,https://www.kununu.com/de/qiagen,Yes,,,,,,,,,,,,,,,,,,,
73,RATIONAL Aktiengesellschaft,Mdax,rational,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
74,Rheinmetall AG,Mdax,rheinmetall-group,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
75,Rocket Internet SE,Mdax,rocket-internet,Internet,,Yes,,,,,,,,,,,,,,,,,,,
76,RTL Group SA,Mdax,mediengruppe-rtl,Medien,,Yes,,,,,,,,,,,,,,,,,,,
77,Sartorius Aktiengesellschaft,Mdax,sartorius,Medizin/Pharma,https://www.kununu.com/de/sartorius,Yes,,,,,,,,,,,,,,,,,,,
78,Scout24 AG,Mdax,scout24gruppe,Internet,,Yes,,,,,,,,,,,,,,,,,,,
79,Siemens Healthineers AG,Mdax,siemens,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
80,Siltronic AG,Mdax,siltronic1,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
81,Software Aktiengesellschaft,Mdax,software-ag,IT,https://www.kununu.com/de/software-ag,Yes,,,,,,,,,,,,,,,,,,,
82,Symrise AG,Mdax,symrise,Chemie,,Yes,,,,,,,,,,,,,,,,,,,
83,TAG Immobilien AG,Mdax,tag-immobilien2,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
84,TeamViewer AG,Mdax,teamviewer,IT,,Yes,,,,,,,,,,,,,,,,,,,
85,Telefónica Deutschland Holding AG,Mdax,telefonica-germany,Telekommunikation,,Yes,,,,,,,,,,,,,,,,,,,
86,thyssenkrupp AG,Mdax,thyssenkrupp-gruppe,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
87,Uniper SE,Mdax,uniper,Energie,,Yes,,,,,,,,,,,,,,,,,,,
88,United Internet AG,Mdax,united-internet-ag,Internet,,Yes,,,,,,,,,,,,,,,,,,,
